date,GISS,HAD,NOAA
8/11/2016 12:25,0.51,1,1
8/11/2016 12:25,0.11,1,1
8/11/2016 12:26,1.82,1,1
8/11/2016 12:26,0.11,1,1
8/11/2016 12:27,0.51,1,1
8/11/2016 12:27,0.11,1,1
8/11/2016 12:27,1,0.93,1
8/11/2016 12:27,0.06,1,1
8/11/2016 12:27,1,1,1
8/11/2016 12:27,1,1,1
8/11/2016 12:27,38.67,1,1
8/11/2016 12:28,1,1,1
8/11/2016 12:28,1,2.32,1
8/11/2016 12:29,0.11,1,1
8/11/2016 12:29,0.93,1,1
8/11/2016 12:29,0.11,1,1
8/11/2016 12:29,21.27,1,1
8/11/2016 12:29,1,1,1
8/11/2016 12:29,0.93,1,1
8/11/2016 12:29,1,1,1
8/11/2016 12:30,1,1,1
8/11/2016 12:30,2.32,1,1
8/11/2016 12:31,0.93,1,1
8/11/2016 12:31,0.93,1,1
8/11/2016 12:31,0.93,1,1
8/11/2016 12:31,1,1,1
8/11/2016 12:31,21.27,1,1
8/11/2016 12:31,0.06,1,1
8/11/2016 12:32,1,0.11,1
8/11/2016 12:32,0.11,1,1
8/11/2016 12:32,1,1,0.11
8/11/2016 12:32,0.11,1,1
8/11/2016 12:33,1,0.93,1
8/11/2016 12:33,1.74,1,1
8/11/2016 12:33,0.11,1,1
8/11/2016 12:33,0.93,1,1
8/11/2016 12:33,0.11,1,1
8/11/2016 12:34,0.93,1,1
8/11/2016 12:34,0.06,1,1
8/11/2016 12:34,1,0.11,1
8/11/2016 12:34,0.11,1,1
8/11/2016 12:35,0.93,1,1
8/11/2016 12:35,1,0.34,1
8/11/2016 12:35,0.11,1,1
8/11/2016 12:35,0.93,1,1
8/11/2016 12:36,1,0.11,1
8/11/2016 12:36,0.35,1,1
8/11/2016 12:36,0.93,1,1
8/11/2016 12:36,0.06,1,1
8/11/2016 12:36,0.06,1,1
8/11/2016 12:37,1,1,0.11
8/11/2016 12:37,0.11,1,1
8/11/2016 12:37,0.11,1,1
8/11/2016 12:37,0.97,1,1
8/11/2016 12:37,1,1,1
8/11/2016 12:38,0.53,1,1
8/11/2016 12:38,0.93,1,1
8/11/2016 12:38,1,21.27,1
8/11/2016 12:38,0.11,1,1
8/11/2016 12:39,1,37.12,1
8/11/2016 12:39,2.32,1,1
8/11/2016 12:39,1,1,1
8/11/2016 12:39,0.11,1,1
8/11/2016 12:40,0.11,1,1
8/11/2016 12:40,0.47,1,1
8/11/2016 12:40,0.11,1,1
8/11/2016 12:40,2.32,1,1
8/11/2016 12:40,1,1,1
8/11/2016 12:41,1,1,1
8/11/2016 12:41,0.11,1,1
8/11/2016 12:41,1,0.93,1
8/11/2016 12:41,0.11,1,1
8/11/2016 12:41,0.11,1,1
8/11/2016 12:42,1,0.93,1
8/11/2016 12:42,1,1,1
8/11/2016 12:42,21.27,1,1
8/11/2016 12:42,0.11,1,1
8/11/2016 12:42,1,1,1
8/11/2016 12:42,1.89,1,1
8/11/2016 12:43,0.51,1,1
8/11/2016 12:43,0.11,1,1
8/11/2016 12:43,1.89,1,1
8/11/2016 12:44,0.04,1,1
8/11/2016 12:44,1,0.51,1
8/11/2016 12:44,0.11,1,1
8/11/2016 12:44,0.97,1,1
8/11/2016 12:45,0.11,1,1
8/11/2016 12:45,0.11,1,1
8/11/2016 12:45,1,2.32,1
8/11/2016 12:45,19.72,1,1
8/11/2016 12:45,1,37.12,1
8/11/2016 12:45,1,19.72,1
8/11/2016 12:46,0.11,1,1
8/11/2016 12:46,1,1,1
8/11/2016 12:46,0.11,1,1
8/11/2016 12:47,0.06,1,1
8/11/2016 12:47,1,0.06,1
8/11/2016 12:48,0.93,1,1
8/11/2016 12:48,1.82,1,1
8/11/2016 12:48,1,1.01,1
8/11/2016 12:48,2.71,1,1
8/11/2016 12:48,0.11,1,1
8/11/2016 12:49,0.06,1,1
8/11/2016 12:49,0.11,1,1
8/11/2016 12:49,0.11,1,1
8/11/2016 12:49,0.06,1,1
8/11/2016 12:50,0.06,1,1
8/11/2016 12:50,0.47,1,1
8/11/2016 12:50,38.67,1,1
8/11/2016 12:50,0.93,1,1
8/11/2016 12:50,0.11,1,1
8/11/2016 12:50,1,0.34,1
8/11/2016 12:51,19.72,1,1
8/11/2016 12:51,1,1,1
8/11/2016 12:51,1,1,1
8/11/2016 12:51,1,57.63,1
8/11/2016 12:51,1,21.27,1
8/11/2016 12:51,1,1,1.89
8/11/2016 12:51,1,0.11,1
8/11/2016 12:51,0.11,1,1
8/11/2016 12:52,1,0.93,1
8/11/2016 12:52,0.06,1,1
8/11/2016 12:52,0.11,1,1
8/11/2016 12:53,1,0.06,1
8/11/2016 12:53,1,0.93,1
8/11/2016 12:54,0.11,1,1
8/11/2016 12:54,1,1,1
8/11/2016 12:54,0.06,1,1
8/11/2016 12:54,1,1,57.63
8/11/2016 12:54,21.27,1,1
8/11/2016 12:54,1.82,1,1
8/11/2016 12:54,0.35,1,1
8/11/2016 12:55,0.11,1,1
8/11/2016 12:55,0.06,1,1
8/11/2016 12:55,0.11,1,1
8/11/2016 12:55,0.12,1,1
8/11/2016 12:55,0.11,1,1
8/11/2016 12:56,0.11,1,1
8/11/2016 12:56,0.11,1,1
8/11/2016 12:56,0.11,1,1
8/11/2016 12:57,1,0.93,1
8/11/2016 12:57,1.82,1,1
8/11/2016 12:57,0.06,1,1
8/11/2016 12:57,0.06,1,1
